,time,type,building,address,area,price,floor
0,成交時間,用途,型態,路段,坪數,租金,樓層
1,2024/01/29,店面,電梯大樓,新北市蘆洲區九芎街,101坪,"110,000元",1 / 6
2,2024/01/23,廠辦,,新北市蘆洲區九芎街,101坪,"110,000元",1 / 
3,2024/01/19,整層住家,電梯大樓,新北市蘆洲區三民路,27坪,"23,000元",2 / 8
4,2023/12/30,整層住家,電梯大樓,新北市蘆洲區三民路,27坪,"23,000元",2 / 8
5,2023/12/28,整層住家,電梯大樓,新北市蘆洲區中央路,29.6坪,"39,000元",2 / 15
6,2023/11/01,辦公,電梯大樓,新北市蘆洲區中山二路,74.6坪,"59,000元",4 / 7
7,2023/10/23,廠辦,,新北市蘆洲區中山二路,74坪,"59,000元",4 / 
8,2023/10/20,整層住家,電梯大樓,新北市蘆洲區復興路,27坪,"35,000元",2 / 12
9,2023/10/17,廠辦,,新北市蘆洲區中山二路,82.71坪,"69,000元",4 / 
10,2023/10/17,廠辦,,新北市蘆洲區中山二路,82.71坪,"69,000元",4 / 
11,2023/10/17,廠辦,,新北市蘆洲區中山二路,82.71坪,"69,000元",4 / 
12,2023/10/17,廠辦,,新北市蘆洲區中山二路,74.62坪,"59,000元",4 / 
13,2023/10/12,整層住家,電梯大樓,新北市蘆洲區集賢路,79.46坪,"68,999元",11 / 14
14,2023/10/05,整層住家,電梯大樓,新北市蘆洲區光明路,27坪,"30,000元",3 / 9
15,2023/09/28,店面,電梯大樓,新北市蘆洲區三民路,32.07坪,"50,962元",1 / 24
16,2023/09/25,整層住家,電梯大樓,新北市蘆洲區三民路,61.57坪,"46,416元",12 / 24
17,2023/09/08,廠房,,新北市蘆洲區國道路二段,146坪,"150,000元",7 / 7
18,2023/09/07,整層住家,電梯大樓,新北市蘆洲區復興路,27坪,"35,000元",2 / 12
19,2023/09/06,車位,,新北市蘆洲區復興路,4坪,"4,000元",
20,2023/09/04,雅房,電梯大樓,新北市蘆洲區永安北路一段,7坪,"7,600元",3 / 5
21,2023/08/29,雅房,無電梯公寓,新北市蘆洲區中興街,30坪,"27,000元",1 / 5
22,2023/08/25,分租套房,透天厝,新北市蘆洲區永安北路一段,7坪,"10,000元",3 / 5
23,2023/08/22,分租套房,無電梯公寓,新北市蘆洲區三民路,10坪,"14,999元",5 / 5
24,2023/08/18,分租套房,無電梯公寓,新北市蘆洲區長安街,10坪,"13,500元",5 / 5
25,2023/07/15,獨立套房,電梯大樓,新北市蘆洲區光明路,7坪,"8,500元",5 / 5
26,成交時間,用途,型態,路段,坪數,租金,樓層
27,2023/06/18,整層住家,電梯大樓,新北市蘆洲區集賢路,45.16坪,"35,000元",13 / 15
28,2023/05/05,分租套房,透天厝,新北市蘆洲區永安北路一段,7坪,"8,500元",5 / 5
29,2023/04/26,獨立套房,無電梯公寓,新北市蘆洲區三民路,10坪,"14,500元",5 / 5
30,2023/04/19,店面,無電梯公寓,新北市蘆洲區中山二路,30坪,"45,000元",1 / 5
31,2023/03/30,獨立套房,電梯大樓,新北市蘆洲區長安街,9坪,"8,500元",2 / 7
32,2023/03/24,整層住家,電梯大樓,新北市蘆洲區仁愛街,43坪,"27,000元",5 / 9
33,2023/03/01,店面,電梯大樓,新北市蘆洲區中正路,57坪,"85,000元",1 / 8
34,2023/01/30,整層住家,電梯大樓,新北市蘆洲區光復路,69.1坪,"58,000元",2 / 12
35,2023/01/30,整層住家,電梯大樓,新北市蘆洲區光復路,69.1坪,"58,000元",2 / 12
36,2023/01/18,整層住家,無電梯公寓,新北市蘆洲區中正路,16坪,"20,000元",5 / 5
37,2022/12/29,獨立套房,無電梯公寓,新北市蘆洲區中正路,28坪,"18,000元",4 / 5
38,2022/12/21,整層住家,電梯大樓,新北市蘆洲區中正路,25坪,"18,000元",8 / 8
39,2022/12/20,店面,無電梯公寓,新北市蘆洲區中山一路,99坪,"220,000元",1 / 5
40,2022/12/20,店面,無電梯公寓,新北市蘆洲區長樂路,45坪,"58,000元",1 / 5
41,2022/12/16,整層住家,無電梯公寓,新北市蘆洲區復興路,20坪,"17,500元",3 / 4
42,2022/12/05,分租套房,無電梯公寓,新北市蘆洲區長安街,7坪,"10,500元",5 / 5
43,2022/10/23,整層住家,電梯大樓,新北市蘆洲區中興街,25坪,"24,000元",4 / 14
44,2022/10/19,分租套房,無電梯公寓,新北市蘆洲區長安街,10坪,"13,500元",5 / 5
45,2022/10/17,獨立套房,無電梯公寓,新北市蘆洲區長安街,10坪,"10,500元",5 / 5
46,2022/10/12,店面,無電梯公寓,新北市蘆洲區民權路,32.18坪,"45,000元",1 / 5
47,2022/10/12,店面,無電梯公寓,新北市蘆洲區民權路,32.18坪,"45,000元",1 / 5
48,2022/10/06,廠辦,,新北市蘆洲區仁愛街,527坪,"300,000元",1 / 
49,2022/10/06,獨立套房,無電梯公寓,新北市蘆洲區長安街,9坪,"9,000元",5 / 5
50,2022/10/04,店面,電梯大樓,新北市蘆洲區中原路,70坪,"72,000元",1 / 6
51,2022/09/18,整層住家,電梯大樓,新北市蘆洲區民族路,28.57坪,"28,800元",4 / 8
52,成交時間,用途,型態,路段,坪數,租金,樓層
53,2022/09/15,店面,電梯大樓,新北市蘆洲區三民路,23坪,"25,000元",1 / 8
54,2022/09/15,整層住家,電梯大樓,新北市蘆洲區三民路,36坪,"27,000元",2 / 8
55,2022/09/14,分租套房,無電梯公寓,新北市蘆洲區中山二路,8坪,"10,800元",4 / 4
56,2022/09/03,獨立套房,無電梯公寓,新北市蘆洲區長安街,8坪,"8,500元",5 / 5
57,2022/09/02,分租套房,透天厝,新北市蘆洲區永安北路一段,7坪,"9,000元",5 / 5
58,2022/09/02,分租套房,透天厝,新北市蘆洲區永安北路一段,7坪,"9,000元",5 / 5
59,2022/09/02,分租套房,透天厝,新北市蘆洲區永安北路一段,7坪,"9,000元",5 / 5
60,2022/08/30,分租套房,無電梯公寓,新北市蘆洲區長安街,7坪,"10,500元",5 / 5
61,2022/07/18,獨立套房,無電梯公寓,新北市蘆洲區長安街,10坪,"12,888元",5 / 5
62,2022/07/18,店面,電梯大樓,新北市蘆洲區中山一路,50坪,"52,000元",1 / 11
63,2022/06/27,獨立套房,無電梯公寓,新北市蘆洲區中山二路,6坪,"8,888元",5 / 5
64,2022/05/17,整層住家,電梯大樓,新北市蘆洲區復興路,27坪,"35,000元",2 / 12
65,2022/05/10,獨立套房,無電梯公寓,新北市蘆洲區三民路,9坪,"14,000元",5 / 5
66,2022/04/22,整層住家,無電梯公寓,新北市蘆洲區中正路,23.29坪,"22,000元",4 / 4
67,2022/03/29,店面,電梯大樓,新北市蘆洲區集賢路,27.65坪,"33,000元",1 / 15
68,2022/03/29,店面,電梯大樓,新北市蘆洲區集賢路,27.65坪,"33,000元",1 / 15
69,2022/03/28,整層住家,無電梯公寓,新北市蘆洲區民族路,38坪,"23,000元",2 / 5
70,2022/03/19,獨立套房,無電梯公寓,新北市蘆洲區三民路,9坪,"14,000元",5 / 5
71,2022/03/17,分租套房,無電梯公寓,新北市蘆洲區長安街,10坪,"13,500元",5 / 5
72,2022/03/17,分租套房,無電梯公寓,新北市蘆洲區長安街,10坪,"13,500元",5 / 5
73,2022/03/17,分租套房,無電梯公寓,新北市蘆洲區長安街,10坪,"13,500元",5 / 5
74,2022/03/05,整層住家,電梯大樓,新北市蘆洲區永樂街,36坪,"26,000元",4 / 5
75,2022/02/19,整層住家,無電梯公寓,新北市蘆洲區民族路,35坪,"10,000元",5 / 5
76,2022/02/17,雅房,電梯大樓,新北市蘆洲區得勝街,44坪,"34,000元",6 / 12
77,2022/02/12,車位,,新北市蘆洲區復興路,4坪,"4,000元",
78,成交時間,用途,型態,路段,坪數,租金,樓層
79,2022/01/25,分租套房,無電梯公寓,新北市蘆洲區三民路,10坪,"14,999元",5 / 5
80,2022/01/17,整層住家,電梯大樓,新北市蘆洲區長安街,19.5坪,"19,000元",4 / 5
81,2022/01/16,車位,,新北市蘆洲區鷺江街,4.26坪,"3,800元",
82,2022/01/15,獨立套房,無電梯公寓,新北市蘆洲區三民路,9坪,"14,000元",5 / 5
83,2022/01/09,整層住家,無電梯公寓,新北市蘆洲區民權路,27.72坪,"22,000元",5 / 5
84,2022/01/09,整層住家,電梯大樓,新北市蘆洲區仁愛街,33.7坪,"23,100元",7 / 8
85,2021/08/29,整層住家,電梯大樓,新北市蘆洲區三民路,27坪,"23,000元",2 / 8
86,2021/08/28,分租套房,無電梯公寓,新北市蘆洲區三民路,10坪,"14,999元",5 / 5
87,2021/08/17,分租套房,無電梯公寓,新北市蘆洲區中山二路,8坪,"10,800元",4 / 4
88,2021/07/08,獨立套房,無電梯公寓,新北市蘆洲區長安街,10坪,"12,888元",5 / 5
89,2021/06/29,分租套房,無電梯公寓,新北市蘆洲區長安街,10坪,"13,500元",5 / 5
90,2021/06/18,分租套房,無電梯公寓,新北市蘆洲區長安街,7坪,"10,500元",5 / 5
91,2021/05/26,分租套房,無電梯公寓,新北市蘆洲區三民路,10坪,"14,000元",5 / 5
92,2021/05/15,整層住家,電梯大樓,新北市蘆洲區復興路,27坪,"35,000元",2 / 12
93,2021/04/24,整層住家,電梯大樓,新北市蘆洲區復興路,27坪,"35,000元",2 / 12
94,2021/03/20,分租套房,無電梯公寓,新北市蘆洲區長安街,10坪,"13,500元",5 / 5
95,2021/03/06,整層住家,電梯大樓,新北市蘆洲區復興路,27坪,"35,000元",2 / 12
96,2020/11/10,整層住家,電梯大樓,新北市蘆洲區三民路,36坪,"24,999元",8 / 8
97,2020/11/10,整層住家,電梯大樓,新北市蘆洲區三民路,36坪,"24,999元",8 / 8
98,2020/08/19,獨立套房,無電梯公寓,新北市蘆洲區信義路,7坪,"7,000元",5 / 5
99,2020/07/15,分租套房,無電梯公寓,新北市蘆洲區長安街,10坪,"13,500元",5 / 5
100,2020/06/26,分租套房,無電梯公寓,新北市蘆洲區三民路,10坪,"14,000元",5 / 5
101,2020/04/25,分租套房,無電梯公寓,新北市蘆洲區長安街,7坪,"10,500元",5 / 5
102,2020/04/15,獨立套房,電梯大樓,新北市蘆洲區長安街,9坪,"8,500元",2 / 7
103,2020/03/16,分租套房,無電梯公寓,新北市蘆洲區長安街,10坪,"13,500元",5 / 5
104,成交時間,用途,型態,路段,坪數,租金,樓層
105,2020/03/12,分租套房,無電梯公寓,新北市蘆洲區長安街,10坪,"13,500元",5 / 5
106,2020/02/08,分租套房,無電梯公寓,新北市蘆洲區長安街,10坪,"13,500元",5 / 5
107,2020/02/02,辦公,電梯大樓,新北市蘆洲區光華路,45坪,"35,000元",2 / 7
108,2019/09/22,整層住家,電梯大樓,新北市蘆洲區永樂街,28坪,"22,500元",3 / 7
109,2019/08/31,整層住家,無電梯公寓,新北市蘆洲區中正路,30坪,"22,000元",2 / 5
110,2019/08/22,整層住家,無電梯公寓,新北市蘆洲區中正路,30坪,"22,000元",2 / 5
111,2019/06/26,辦公,電梯大樓,新北市蘆洲區光華路,45坪,"35,000元",2 / 7
112,2019/05/27,獨立套房,電梯大樓,新北市蘆洲區長安街,9坪,"8,500元",2 / 7
113,2019/05/22,獨立套房,無電梯公寓,新北市蘆洲區長安街,8坪,"8,500元",5 / 5
114,2019/03/04,獨立套房,無電梯公寓,新北市蘆洲區信義路,7坪,"7,000元",5 / 5
115,2018/12/17,獨立套房,無電梯公寓,新北市蘆洲區信義路,7坪,"7,000元",5 / 5
116,2018/09/30,獨立套房,無電梯公寓,新北市蘆洲區長安街,8坪,"8,500元",5 / 5
117,2018/08/24,整層住家,電梯大樓,新北市蘆洲區三民路,40坪,"27,000元",2 / 8
118,2018/08/24,整層住家,電梯大樓,新北市蘆洲區三民路,36坪,"27,000元",2 / 8
119,2018/07/04,獨立套房,電梯大樓,新北市蘆洲區長安街,9坪,"8,500元",2 / 7
120,2018/06/21,獨立套房,無電梯公寓,新北市蘆洲區信義路,7坪,"7,000元",5 / 5
121,2018/03/06,獨立套房,電梯大樓,新北市蘆洲區長安街,9坪,"8,500元",2 / 7
122,2017/12/07,獨立套房,電梯大樓,新北市蘆洲區長安街,9坪,"8,500元",2 / 7
123,2017/11/24,獨立套房,無電梯公寓,新北市蘆洲區信義路,7坪,"7,000元",5 / 5
124,2017/05/17,獨立套房,無電梯公寓,新北市蘆洲區信義路,7坪,"7,000元",5 / 5
125,2017/05/17,獨立套房,無電梯公寓,新北市蘆洲區長安街,8坪,"8,500元",5 / 5
126,2016/12/15,獨立套房,無電梯公寓,新北市蘆洲區信義路,7坪,"7,000元",5 / 5
127,2016/08/14,獨立套房,無電梯公寓,新北市蘆洲區長安街,8坪,"8,500元",5 / 5
128,2016/07/29,獨立套房,無電梯公寓,新北市蘆洲區信義路,7坪,"7,000元",5 / 5
129,2016/03/18,獨立套房,無電梯公寓,新北市蘆洲區長安街,8坪,"8,500元",5 / 5
130,成交時間,用途,型態,路段,坪數,租金,樓層
131,2016/01/15,獨立套房,無電梯公寓,新北市蘆洲區信義路,7坪,"7,000元",5 / 5
132,2015/09/27,獨立套房,無電梯公寓,新北市蘆洲區長安街,8坪,"8,500元",5 / 5
133,2015/07/21,獨立套房,無電梯公寓,新北市蘆洲區信義路,7坪,"7,000元",5 / 5
